"timeid","iyear","imonth","iday"
"836","1976","7","4"
"837","1976","7","6"
"838","1976","7","10"
"839","1976","7","12"
"840","1976","7","15"
"841","1976","7","18"
"842","1976","7","19"
"843","1976","7","20"
"844","1976","7","23"
"845","1976","7","24"
"846","1976","7","25"
"847","1976","7","27"
"848","1976","7","29"
"849","1976","8","0"
"850","1976","8","1"
"851","1976","8","4"
"852","1976","8","5"
"853","1976","8","6"
"854","1976","8","7"
"855","1976","8","11"
"856","1976","8","14"
"857","1976","8","16"
"858","1976","8","18"
"859","1976","8","20"
"860","1976","8","24"
"861","1976","8","27"
"862","1976","8","28"
"863","1976","8","31"
"864","1976","9","2"
"865","1976","9","6"
"866","1976","9","7"
"867","1976","9","10"
"868","1976","9","11"
"869","1976","9","13"
"870","1976","9","15"
"871","1976","9","20"
"872","1976","9","21"
"873","1976","9","25"
"874","1976","9","26"
"875","1976","9","27"
"876","1976","9","29"
"877","1976","9","30"
"878","1976","10","1"
"879","1976","10","4"
"880","1976","10","5"
"881","1976","10","6"
"882","1976","10","7"
"883","1976","10","8"
"884","1976","10","10"
"885","1976","10","11"
"886","1976","10","13"
"887","1976","10","16"
"888","1976","10","17"
"889","1976","10","20"
"890","1976","10","25"
"891","1976","10","26"
"892","1976","10","27"
"893","1976","10","28"
"894","1976","11","0"
"895","1976","11","1"
"896","1976","11","6"
"897","1976","11","7"
"898","1976","11","8"
"899","1976","11","10"
"900","1976","11","12"
"901","1976","11","13"
"902","1976","11","14"
"903","1976","11","15"
"904","1976","11","17"
"905","1976","11","20"
"906","1976","11","21"
"907","1976","11","29"
"908","1976","12","1"
"909","1976","12","5"
"910","1976","12","6"
"911","1976","12","8"
"912","1976","12","10"
"913","1976","12","13"
"914","1976","12","14"
"915","1976","12","15"
"916","1976","12","16"
"917","1976","12","17"
"918","1976","12","20"
"919","1976","12","23"
"920","1976","12","24"
"921","1977","0","0"
"922","1977","1","0"
"923","1977","1","4"
"924","1977","1","6"
"925","1977","1","7"
"926","1977","1","8"
"927","1977","1","16"
"928","1977","1","19"
"929","1977","1","20"
"930","1977","1","22"
"931","1977","1","24"
"932","1977","1","25"
"933","1977","1","27"
"934","1977","1","29"
"935","1977","2","2"
"936","1977","2","4"
"937","1977","2","5"
"938","1977","2","13"
"939","1977","2","17"
"940","1977","2","18"
"941","1977","2","19"
"942","1977","2","22"
"943","1977","2","23"
"944","1977","2","24"
"945","1977","2","28"
"946","1977","3","1"
"947","1977","3","2"
"948","1977","3","3"
"949","1977","3","5"
"950","1977","3","6"
"951","1977","3","7"
"952","1977","3","10"
"953","1977","3","11"
"954","1977","3","12"
"955","1977","3","13"
"956","1977","3","16"
"957","1977","3","17"
"958","1977","3","20"
"959","1977","3","21"
"960","1977","3","22"
"961","1977","3","23"
"962","1977","3","24"
"963","1977","3","25"
"964","1977","3","26"
"965","1977","3","27"
"966","1977","3","28"
"967","1977","3","29"
"968","1977","3","30"
"969","1977","3","31"
"970","1977","4","0"
"971","1977","4","7"
"972","1977","4","8"
"973","1977","4","9"
"974","1977","4","11"
"975","1977","4","15"
"976","1977","4","21"
"977","1977","4","29"
"978","1977","4","30"
"979","1977","5","1"
"980","1977","5","4"
"981","1977","5","5"
"982","1977","5","6"
"983","1977","5","8"
"984","1977","5","12"
"985","1977","5","14"
"986","1977","5","15"
"987","1977","5","16"
"988","1977","5","17"
"989","1977","5","22"
"990","1977","5","23"
"991","1977","5","25"
"992","1977","5","26"
"993","1977","5","29"
"994","1977","5","30"
"995","1977","6","0"
"996","1977","6","1"
"997","1977","6","2"
"998","1977","6","3"
"999","1977","6","4"
"1000","1977","6","5"
"1001","1977","6","6"
"1002","1977","6","8"
"1003","1977","6","9"
"1004","1977","6","10"
"1005","1977","6","11"
"1006","1977","6","12"
"1007","1977","6","13"
"1008","1977","6","14"
"1009","1977","6","15"
"1010","1977","6","16"
"1011","1977","6","17"
"1012","1977","6","20"
"1013","1977","6","21"
"1014","1977","6","24"
"1015","1977","6","26"
"1016","1977","6","27"
"1017","1977","6","28"
"1018","1977","6","29"
"1019","1977","6","30"
"1020","1977","7","2"
"1021","1977","7","5"
"1022","1977","7","7"
"1023","1977","7","9"
"1024","1977","7","10"
"1025","1977","7","11"
"1026","1977","7","12"
"1027","1977","7","13"
"1028","1977","7","14"
"1029","1977","7","15"
"1030","1977","7","16"
"1031","1977","7","19"
"1032","1977","7","20"
"1033","1977","7","21"
"1034","1977","7","22"
"1035","1977","7","23"
"1036","1977","7","25"
"1037","1977","7","26"
"1038","1977","7","27"
"1039","1977","7","28"
"1040","1977","7","29"
"1041","1977","7","30"
"1042","1977","8","1"
"1043","1977","8","2"
"1044","1977","8","3"
"1045","1977","8","4"
"1046","1977","8","6"
"1047","1977","8","7"
"1048","1977","8","9"
"1049","1977","8","12"
"1050","1977","8","13"
"1051","1977","8","15"
"1052","1977","8","18"
"1053","1977","8","19"
"1054","1977","8","20"
"1055","1977","8","21"
"1056","1977","8","23"
"1057","1977","8","24"
"1058","1977","8","25"
"1059","1977","8","26"
"1060","1977","8","27"
"1061","1977","8","28"
"1062","1977","8","29"
"1063","1977","8","30"
"1064","1977","8","31"
"1065","1977","9","3"
"1066","1977","9","5"
"1067","1977","9","6"
"1068","1977","9","7"
"1069","1977","9","9"
"1070","1977","9","10"
"1071","1977","9","11"
"1072","1977","9","12"
"1073","1977","9","13"
"1074","1977","9","14"
"1075","1977","9","16"
"1076","1977","9","17"
"1077","1977","9","19"
"1078","1977","9","20"
"1079","1977","9","21"
"1080","1977","9","22"
"1081","1977","9","27"
"1082","1977","9","28"
"1083","1977","9","29"
"1084","1977","9","30"
"1085","1977","10","1"
"1086","1977","10","2"
"1087","1977","10","3"
"1088","1977","10","5"
"1089","1977","10","7"
"1090","1977","10","8"
"1091","1977","10","9"
"1092","1977","10","10"
"1093","1977","10","12"
"1094","1977","10","13"
"1095","1977","10","14"
"1096","1977","10","15"
"1097","1977","10","16"
"1098","1977","10","17"
"1099","1977","10","18"
"1100","1977","10","19"
"1101","1977","10","21"
"1102","1977","10","22"
"1103","1977","10","23"
"1104","1977","10","24"
"1105","1977","10","27"
"1106","1977","10","28"
"1107","1977","10","30"
"1108","1977","11","0"
"1109","1977","11","1"
"1110","1977","11","2"
"1111","1977","11","3"
"1112","1977","11","7"
"1113","1977","11","9"
"1114","1977","11","12"
"1115","1977","11","13"
"1116","1977","11","15"
"1117","1977","11","16"
"1118","1977","11","19"
"1119","1977","11","21"
"1120","1977","11","23"
"1121","1977","11","24"
"1122","1977","11","26"
"1123","1977","11","29"
"1124","1977","11","30"
"1125","1977","12","0"
"1126","1977","12","1"
"1127","1977","12","2"
"1128","1977","12","3"
"1129","1977","12","4"
"1130","1977","12","5"
"1131","1977","12","6"
"1132","1977","12","8"
"1133","1977","12","9"
"1134","1977","12","10"
"1135","1977","12","11"
"1136","1977","12","12"
"1137","1977","12","13"
"1138","1977","12","14"
"1139","1977","12","18"
"1140","1977","12","20"
"1141","1977","12","21"
"1142","1977","12","24"
"1143","1977","12","25"
"1144","1977","12","27"
"1145","1977","12","28"
"1146","1977","12","29"
"1147","1977","12","30"
"1148","1977","12","31"
"1149","1978","1","1"
"1150","1978","1","2"
"1151","1978","1","3"
"1152","1978","1","4"
"1153","1978","1","5"
"1154","1978","1","6"
"1155","1978","1","7"
"1156","1978","1","8"
"1157","1978","1","9"
"1158","1978","1","10"
"1159","1978","1","11"
"1160","1978","1","12"
"1161","1978","1","13"
"1162","1978","1","14"
"1163","1978","1","15"
"1164","1978","1","16"
"1165","1978","1","19"
"1166","1978","1","21"
"1167","1978","1","22"
"1168","1978","1","23"
"1169","1978","1","24"
"1170","1978","1","25"
"1171","1978","1","26"
"1172","1978","1","27"
"1173","1978","1","28"
"1174","1978","2","0"
"1175","1978","2","2"
"1176","1978","2","3"
"1177","1978","2","5"
"1178","1978","2","6"
"1179","1978","2","7"
"1180","1978","2","8"
"1181","1978","2","9"
"1182","1978","2","11"
"1183","1978","2","12"
"1184","1978","2","13"
"1185","1978","2","14"
"1186","1978","2","15"
"1187","1978","2","16"
"1188","1978","2","17"
"1189","1978","2","18"
"1190","1978","2","20"
"1191","1978","2","21"
"1192","1978","2","22"
"1193","1978","2","24"
"1194","1978","2","25"
"1195","1978","2","26"
"1196","1978","2","28"
"1197","1978","3","1"
"1198","1978","3","2"
"1199","1978","3","3"
"1200","1978","3","4"
"1201","1978","3","5"
"1202","1978","3","7"
"1203","1978","3","8"
"1204","1978","3","9"
"1205","1978","3","10"
"1206","1978","3","11"
"1207","1978","3","12"
"1208","1978","3","13"
"1209","1978","3","15"
"1210","1978","3","16"
"1211","1978","3","17"
"1212","1978","3","20"
"1213","1978","3","21"
"1214","1978","3","25"
"1215","1978","3","27"
"1216","1978","3","28"
"1217","1978","3","30"
"1218","1978","4","0"
"1219","1978","4","5"
"1220","1978","4","6"
"1221","1978","4","10"
"1222","1978","4","11"
"1223","1978","4","12"
"1224","1978","4","13"
"1225","1978","4","15"
"1226","1978","4","18"
"1227","1978","4","19"
"1228","1978","4","20"
"1229","1978","4","21"
"1230","1978","4","22"
"1231","1978","4","24"
"1232","1978","4","26"
"1233","1978","4","27"
"1234","1978","4","28"
"1235","1978","4","29"
"1236","1978","4","30"
"1237","1978","5","1"
"1238","1978","5","2"
"1239","1978","5","3"
"1240","1978","5","5"
"1241","1978","5","7"
"1242","1978","5","8"
"1243","1978","5","9"
"1244","1978","5","10"
"1245","1978","5","11"
"1246","1978","5","12"
"1247","1978","5","13"
