"cid","nkill","nwound"
"349","5","24"
"350","5","25"
"351","5","26"
"352","5","27"
"353","5","28"
"354","5","29"
"355","5","30"
"356","5","31"
"357","5","32"
"358","5","33"
"359","5","34"
"360","5","35"
"361","5","36"
"362","5","37"
"363","5","38"
"364","5","39"
"365","5","40"
"366","5","41"
"367","5","42"
"368","5","43"
"369","5","44"
"370","5","45"
"371","5","46"
"372","5","48"
"373","5","50"
"374","5","51"
"375","5","52"
"376","5","55"
"377","5","56"
"378","5","57"
"379","5","60"
"380","5","61"
"381","5","73"
"382","5","75"
"383","5","83"
"384","5","94"
"385","5","128"
"386","5","145"
"387","6","0"
"388","6","1"
"389","6","2"
"390","6","3"
"391","6","4"
"392","6","5"
"393","6","6"
"394","6","7"
"395","6","8"
"396","6","9"
"397","6","10"
"398","6","11"
"399","6","12"
"400","6","13"
"401","6","14"
"402","6","15"
"403","6","16"
"404","6","17"
"405","6","18"
"406","6","19"
"407","6","20"
"408","6","21"
"409","6","22"
"410","6","23"
"411","6","24"
"412","6","25"
"413","6","26"
"414","6","27"
"415","6","28"
"416","6","29"
"417","6","30"
"418","6","31"
"419","6","32"
"420","6","33"
"421","6","34"
"422","6","35"
"423","6","37"
"424","6","38"
"425","6","39"
"426","6","40"
"427","6","43"
"428","6","44"
"429","6","45"
"430","6","48"
"431","6","50"
"432","6","51"
"433","6","54"
"434","6","56"
"435","6","58"
"436","6","60"
"437","6","61"
"438","6","62"
"439","6","64"
"440","6","66"
"441","6","83"
"442","6","100"
"443","6","120"
"444","7","0"
"445","7","1"
"446","7","2"
"447","7","3"
"448","7","4"
"449","7","5"
"450","7","6"
"451","7","7"
"452","7","8"
"453","7","9"
"454","7","10"
"455","7","11"
"456","7","12"
"457","7","13"
"458","7","14"
"459","7","15"
"460","7","16"
"461","7","17"
"462","7","18"
"463","7","19"
"464","7","20"
"465","7","21"
"466","7","22"
"467","7","23"
"468","7","24"
"469","7","25"
"470","7","26"
"471","7","27"
"472","7","28"
"473","7","29"
"474","7","30"
"475","7","31"
"476","7","32"
"477","7","33"
"478","7","34"
"479","7","35"
"480","7","37"
"481","7","38"
"482","7","39"
"483","7","40"
"484","7","41"
"485","7","42"
"486","7","44"
"487","7","45"
"488","7","46"
"489","7","47"
"490","7","50"
"491","7","51"
"492","7","52"
"493","7","54"
"494","7","56"
"495","7","60"
"496","7","64"
"497","7","70"
"498","7","78"
"499","7","80"
"500","7","86"
"501","7","92"
"502","7","94"
"503","7","100"
"504","7","101"
"505","7","163"
"506","7","207"
"507","8","0"
"508","8","0"
"509","8","1"
"510","8","2"
"511","8","3"
"512","8","4"
"513","8","5"
"514","8","6"
"515","8","7"
"516","8","8"
"517","8","9"
"518","8","10"
"519","8","11"
"520","8","12"
"521","8","13"
"522","8","14"
"523","8","15"
"524","8","16"
"525","8","17"
"526","8","18"
"527","8","19"
"528","8","20"
"529","8","21"
"530","8","22"
"531","8","23"
"532","8","24"
"533","8","25"
"534","8","26"
"535","8","27"
"536","8","28"
"537","8","29"
"538","8","30"
"539","8","31"
"540","8","32"
"541","8","33"
"542","8","34"
"543","8","35"
"544","8","36"
"545","8","37"
"546","8","38"
"547","8","39"
"548","8","40"
"549","8","41"
"550","8","42"
"551","8","43"
"552","8","44"
"553","8","45"
"554","8","50"
"555","8","53"
"556","8","55"
"557","8","57"
"558","8","58"
"559","8","60"
"560","8","61"
"561","8","62"
"562","8","65"
"563","8","71"
"564","8","77"
"565","8","78"
"566","8","80"
"567","8","90"
"568","8","100"
"569","8","102"
"570","8","110"
"571","8","150"
"572","8","171"
"573","9","0"
"574","9","1"
"575","9","2"
"576","9","3"
"577","9","4"
"578","9","5"
"579","9","6"
"580","9","7"
"581","9","8"
"582","9","9"
"583","9","10"
"584","9","11"
"585","9","12"
"586","9","13"
"587","9","14"
"588","9","15"
"589","9","16"
"590","9","17"
"591","9","18"
"592","9","19"
"593","9","20"
"594","9","21"
"595","9","22"
"596","9","23"
"597","9","24"
"598","9","25"
"599","9","26"
"600","9","27"
"601","9","28"
"602","9","30"
"603","9","31"
"604","9","32"
"605","9","33"
"606","9","34"
"607","9","35"
"608","9","36"
"609","9","38"
"610","9","40"
"611","9","41"
"612","9","42"
"613","9","43"
"614","9","45"
"615","9","47"
"616","9","48"
"617","9","49"
"618","9","50"
"619","9","51"
"620","9","52"
"621","9","57"
"622","9","58"
"623","9","59"
"624","9","60"
"625","9","62"
"626","9","64"
"627","9","70"
"628","9","76"
"629","9","84"
"630","9","100"
"631","10","0"
"632","10","1"
"633","10","2"
"634","10","3"
"635","10","4"
"636","10","5"
"637","10","6"
"638","10","7"
"639","10","8"
"640","10","9"
"641","10","10"
"642","10","11"
"643","10","12"
"644","10","13"
"645","10","14"
"646","10","15"
"647","10","16"
"648","10","17"
"649","10","18"
"650","10","19"
"651","10","20"
"652","10","21"
"653","10","22"
"654","10","23"
"655","10","24"
"656","10","25"
"657","10","26"
"658","10","27"
"659","10","28"
"660","10","30"
"661","10","31"
"662","10","32"
"663","10","33"
"664","10","34"
"665","10","35"
"666","10","36"
"667","10","37"
"668","10","38"
"669","10","40"
"670","10","41"
"671","10","42"
"672","10","43"
"673","10","45"
"674","10","47"
"675","10","50"
"676","10","51"
"677","10","52"
"678","10","58"
"679","10","60"
"680","10","62"
"681","10","65"
"682","10","67"
"683","10","68"
"684","10","69"
"685","10","70"
"686","10","74"
"687","10","75"
"688","10","80"
"689","10","81"
"690","10","90"
"691","10","100"
"692","10","150"
"693","10","171"
"694","10","182"
"695","10","285"
"696","11","0"
"697","11","1"
"698","11","2"
"699","11","3"
"700","11","4"
"701","11","5"
"702","11","6"
"703","11","7"
"704","11","8"
"705","11","9"
"706","11","10"
"707","11","11"
"708","11","12"
"709","11","13"
"710","11","14"
"711","11","15"
"712","11","16"
"713","11","17"
"714","11","18"
"715","11","19"
"716","11","20"
"717","11","21"
"718","11","22"
"719","11","23"
"720","11","24"
"721","11","25"
"722","11","26"
"723","11","27"
"724","11","28"
"725","11","29"
"726","11","30"
"727","11","31"
"728","11","32"
"729","11","34"
"730","11","35"
"731","11","36"
"732","11","37"
"733","11","39"
"734","11","40"
"735","11","41"
"736","11","42"
"737","11","43"
"738","11","45"
"739","11","48"
"740","11","50"
"741","11","56"
"742","11","57"
"743","11","59"
"744","11","60"
"745","11","61"
"746","11","64"
"747","11","70"
"748","11","73"
"749","11","74"
"750","11","75"
"751","11","76"
"752","11","80"
"753","11","81"
"754","11","82"
"755","11","85"
"756","11","95"
"757","11","97"
"758","11","100"
"759","11","114"
"760","11","150"
"761","11","151"
"762","12","0"
"763","12","1"
"764","12","2"
"765","12","3"
"766","12","4"
"767","12","5"
"768","12","6"
"769","12","7"
"770","12","8"
"771","12","9"
"772","12","10"
"773","12","11"
"774","12","12"
"775","12","13"
"776","12","14"
"777","12","15"
"778","12","16"
"779","12","17"
"780","12","18"
"781","12","19"
"782","12","20"
"783","12","21"
"784","12","22"
"785","12","23"
"786","12","24"
"787","12","25"
"788","12","26"
"789","12","27"
"790","12","28"
"791","12","29"
"792","12","30"
"793","12","31"
"794","12","32"
"795","12","34"
"796","12","35"
"797","12","36"
"798","12","37"
"799","12","39"
"800","12","40"
"801","12","41"
"802","12","42"
"803","12","43"
"804","12","44"
"805","12","45"
"806","12","46"
"807","12","47"
"808","12","48"
"809","12","49"
"810","12","50"
"811","12","51"
"812","12","53"
"813","12","60"
"814","12","65"
"815","12","68"
"816","12","70"
"817","12","85"
"818","12","90"
"819","12","94"
"820","12","100"
"821","12","178"
"822","12","200"
"823","13","0"
"824","13","1"
"825","13","2"
"826","13","3"
"827","13","4"
"828","13","5"
"829","13","6"
"830","13","7"
"831","13","8"
"832","13","9"
"833","13","10"
"834","13","11"
"835","13","12"
"836","13","13"
"837","13","14"
"838","13","15"
"839","13","16"
"840","13","17"
"841","13","18"
"842","13","19"
"843","13","20"
"844","13","23"
"845","13","24"
"846","13","25"
"847","13","27"
"848","13","28"
"849","13","29"
"850","13","30"
"851","13","31"
"852","13","32"
"853","13","33"
"854","13","34"
"855","13","35"
"856","13","37"
"857","13","38"
"858","13","39"
"859","13","40"
"860","13","42"
"861","13","43"
"862","13","44"
"863","13","45"
"864","13","50"
"865","13","51"
"866","13","52"
"867","13","54"
"868","13","55"
"869","13","57"
"870","13","58"
"871","13","60"
"872","13","61"
"873","13","64"
"874","13","66"
"875","13","75"
"876","13","77"
"877","13","78"
"878","13","83"
"879","13","100"
"880","13","101"
"881","13","107"
"882","13","116"
"883","13","117"
"884","13","130"
"885","13","161"
"886","14","0"
"887","14","1"
"888","14","2"
"889","14","3"
"890","14","4"
"891","14","5"
"892","14","6"
"893","14","7"
"894","14","8"
"895","14","9"
"896","14","10"
"897","14","11"
"898","14","12"
"899","14","13"
"900","14","14"
"901","14","15"
"902","14","16"
"903","14","17"
"904","14","18"
"905","14","19"
"906","14","20"
"907","14","22"
"908","14","23"
"909","14","24"
"910","14","25"
"911","14","26"
"912","14","27"
"913","14","28"
"914","14","29"
"915","14","30"
"916","14","35"
"917","14","36"
"918","14","37"
"919","14","40"
"920","14","41"
"921","14","45"
"922","14","46"
"923","14","50"
"924","14","53"
"925","14","54"
"926","14","60"
"927","14","65"
"928","14","67"
"929","14","69"
"930","14","70"
"931","14","75"
"932","14","76"
"933","14","86"
"934","14","100"
"935","14","110"
"936","14","113"
"937","14","130"
"938","14","400"
"939","15","0"
"940","15","1"
"941","15","2"
"942","15","3"
"943","15","4"
"944","15","5"
"945","15","6"
"946","15","7"
"947","15","8"
"948","15","9"
"949","15","10"
"950","15","11"
"951","15","12"
"952","15","13"
"953","15","14"
"954","15","16"
"955","15","17"
"956","15","18"
"957","15","19"
"958","15","20"
"959","15","21"
"960","15","22"
"961","15","23"
"962","15","24"
"963","15","25"
"964","15","26"
"965","15","27"
"966","15","28"
"967","15","29"
"968","15","30"
"969","15","32"
"970","15","33"
"971","15","34"
"972","15","36"
"973","15","37"
"974","15","40"
"975","15","41"
"976","15","42"
"977","15","43"
"978","15","45"
"979","15","46"
"980","15","48"
"981","15","50"
"982","15","55"
"983","15","58"
"984","15","60"
"985","15","70"
"986","15","81"
"987","15","82"
"988","15","92"
"989","15","100"
"990","15","110"
"991","15","149"
"992","15","151"
"993","15","170"
"994","16","0"
"995","16","1"
"996","16","2"
"997","16","3"
"998","16","4"
"999","16","5"
"1000","16","6"
"1001","16","7"
"1002","16","8"
"1003","16","9"
"1004","16","10"
"1005","16","11"
"1006","16","12"
"1007","16","13"
"1008","16","14"
"1009","16","15"
"1010","16","17"
"1011","16","18"
"1012","16","19"
"1013","16","20"
"1014","16","21"
"1015","16","22"
"1016","16","23"
"1017","16","24"
"1018","16","25"
"1019","16","27"
"1020","16","28"
"1021","16","29"
"1022","16","30"
"1023","16","31"
"1024","16","32"
"1025","16","33"
"1026","16","34"
"1027","16","35"
"1028","16","36"
"1029","16","38"
"1030","16","40"
"1031","16","41"
"1032","16","44"
"1033","16","45"
"1034","16","46"
"1035","16","47"
"1036","16","50"
"1037","16","51"
"1038","16","52"
"1039","16","53"
"1040","16","55"
"1041","16","56"
"1042","16","60"
"1043","16","63"
"1044","16","78"
"1045","16","79"
"1046","16","81"
"1047","16","87"
"1048","16","93"
"1049","16","109"
"1050","16","119"
"1051","16","130"
"1052","16","150"
"1053","16","224"
"1054","16","400"
"1055","17","0"
"1056","17","1"
"1057","17","2"
"1058","17","3"
"1059","17","4"
"1060","17","5"
"1061","17","6"
"1062","17","7"
"1063","17","8"
"1064","17","9"
"1065","17","11"
"1066","17","12"
"1067","17","13"
"1068","17","15"
"1069","17","17"
"1070","17","18"
"1071","17","20"
"1072","17","21"
"1073","17","22"
"1074","17","23"
"1075","17","24"
"1076","17","25"
"1077","17","26"
"1078","17","27"
"1079","17","28"
"1080","17","29"
"1081","17","30"
"1082","17","32"
"1083","17","33"
"1084","17","34"
"1085","17","35"
"1086","17","37"
"1087","17","40"
"1088","17","46"
"1089","17","49"
"1090","17","50"
"1091","17","58"
"1092","17","60"
"1093","17","75"
"1094","17","80"
"1095","17","122"
"1096","17","135"
"1097","17","154"
"1098","17","170"
"1099","17","184"
"1100","17","200"
"1101","17","300"
"1102","18","0"
"1103","18","2"
"1104","18","3"
"1105","18","4"
"1106","18","5"
"1107","18","6"
"1108","18","8"
"1109","18","9"
"1110","18","10"
"1111","18","11"
"1112","18","12"
"1113","18","13"
"1114","18","14"
"1115","18","15"
"1116","18","17"
"1117","18","18"
"1118","18","19"
"1119","18","20"
"1120","18","21"
"1121","18","22"
"1122","18","23"
"1123","18","24"
"1124","18","25"
"1125","18","26"
"1126","18","28"
"1127","18","29"
"1128","18","30"
"1129","18","31"
"1130","18","34"
"1131","18","35"
"1132","18","37"
"1133","18","38"
"1134","18","39"
"1135","18","40"
"1136","18","41"
"1137","18","43"
"1138","18","44"
"1139","18","45"
"1140","18","48"
"1141","18","50"
"1142","18","51"
"1143","18","52"
"1144","18","53"
"1145","18","56"
"1146","18","60"
"1147","18","61"
"1148","18","62"
"1149","18","63"
"1150","18","65"
"1151","18","66"
"1152","18","69"
"1153","18","80"
"1154","18","82"
"1155","18","86"
"1156","18","87"
"1157","18","90"
"1158","18","100"
"1159","18","105"
"1160","18","135"
"1161","18","173"
"1162","19","0"
"1163","19","1"
"1164","19","2"
"1165","19","3"
"1166","19","4"
"1167","19","5"
"1168","19","7"
"1169","19","8"
"1170","19","10"
"1171","19","11"
"1172","19","12"
"1173","19","13"
"1174","19","15"
"1175","19","17"
"1176","19","18"
"1177","19","20"
"1178","19","23"
"1179","19","24"
"1180","19","25"
"1181","19","26"
"1182","19","27"
"1183","19","28"
"1184","19","31"
"1185","19","35"
"1186","19","38"
"1187","19","39"
"1188","19","40"
"1189","19","42"
"1190","19","45"
"1191","19","47"
"1192","19","48"
"1193","19","53"
"1194","19","57"
"1195","19","59"
"1196","19","66"
"1197","19","68"
"1198","19","75"
"1199","19","83"
"1200","19","93"
"1201","19","100"
"1202","19","135"
"1203","19","386"
"1204","19","450"
"1205","20","0"
"1206","20","1"
"1207","20","2"
"1208","20","3"
"1209","20","4"
"1210","20","5"
"1211","20","7"
"1212","20","8"
"1213","20","10"
"1214","20","11"
"1215","20","13"
"1216","20","15"
"1217","20","16"
"1218","20","17"
"1219","20","18"
"1220","20","20"
"1221","20","21"
"1222","20","23"
"1223","20","24"
"1224","20","25"
"1225","20","26"
"1226","20","27"
"1227","20","28"
"1228","20","30"
"1229","20","32"
"1230","20","33"
"1231","20","34"
"1232","20","35"
"1233","20","36"
"1234","20","40"
"1235","20","41"
"1236","20","42"
"1237","20","43"
"1238","20","47"
"1239","20","48"
"1240","20","49"
"1241","20","50"
"1242","20","51"
"1243","20","53"
"1244","20","60"
"1245","20","64"
"1246","20","69"
"1247","20","72"
"1248","20","75"
"1249","20","80"
"1250","20","100"
"1251","20","123"
"1252","21","0"
"1253","21","1"
"1254","21","2"
"1255","21","3"
"1256","21","5"
"1257","21","6"
"1258","21","12"
"1259","21","14"
"1260","21","15"
"1261","21","16"
"1262","21","18"
"1263","21","19"
"1264","21","20"
"1265","21","21"
"1266","21","22"
"1267","21","24"
"1268","21","25"
"1269","21","27"
"1270","21","30"
"1271","21","32"
"1272","21","33"
"1273","21","34"
"1274","21","35"
"1275","21","38"
"1276","21","40"
"1277","21","45"
"1278","21","46"
"1279","21","50"
"1280","21","52"
"1281","21","55"
"1282","21","60"
"1283","21","66"
"1284","21","67"
"1285","21","70"
"1286","21","71"
"1287","21","80"
"1288","21","100"
"1289","21","112"
"1290","22","0"
"1291","22","2"
"1292","22","3"
"1293","22","4"
"1294","22","5"
"1295","22","6"
"1296","22","7"
"1297","22","10"
"1298","22","11"
"1299","22","14"
"1300","22","15"
"1301","22","17"
"1302","22","18"
"1303","22","21"
"1304","22","23"
"1305","22","24"
"1306","22","25"
"1307","22","26"
"1308","22","27"
"1309","22","28"
"1310","22","30"
"1311","22","33"
"1312","22","34"
"1313","22","35"
"1314","22","39"
"1315","22","40"
"1316","22","41"
"1317","22","44"
"1318","22","47"
"1319","22","50"
"1320","22","55"
"1321","22","63"
"1322","22","67"
"1323","22","70"
"1324","22","71"
"1325","22","72"
"1326","22","80"
"1327","22","120"
"1328","22","176"
"1329","23","0"
"1330","23","2"
"1331","23","5"
"1332","23","10"
"1333","23","12"
"1334","23","13"
"1335","23","18"
"1336","23","20"
"1337","23","21"
"1338","23","26"
"1339","23","27"
"1340","23","28"
"1341","23","30"
"1342","23","31"
"1343","23","32"
"1344","23","34"
"1345","23","38"
"1346","23","40"
"1347","23","42"
"1348","23","50"
"1349","23","51"
"1350","23","56"
"1351","23","57"
"1352","23","58"
"1353","23","60"
"1354","23","66"
"1355","23","83"
"1356","23","97"
"1357","23","100"
"1358","23","119"
"1359","23","150"
"1360","24","0"
"1361","24","2"
"1362","24","3"
"1363","24","4"
"1364","24","5"
"1365","24","6"
"1366","24","7"
"1367","24","8"
"1368","24","13"
"1369","24","15"
"1370","24","16"
"1371","24","17"
"1372","24","21"
"1373","24","28"
"1374","24","42"
"1375","24","43"
"1376","24","46"
"1377","24","50"
"1378","24","60"
"1379","24","61"
"1380","24","81"
"1381","24","82"
"1382","24","100"
"1383","24","103"
"1384","24","107"
"1385","24","119"
"1386","24","136"
"1387","24","150"
"1388","25","0"
"1389","25","0"
"1390","25","1"
"1391","25","3"
"1392","25","4"
"1393","25","5"
"1394","25","8"
"1395","25","11"
"1396","25","14"
"1397","25","15"
"1398","25","17"
"1399","25","18"
"1400","25","19"
"1401","25","20"
"1402","25","21"
"1403","25","24"
"1404","25","25"
"1405","25","26"
"1406","25","27"
"1407","25","28"
"1408","25","30"
"1409","25","32"
"1410","25","34"
"1411","25","35"
"1412","25","36"
"1413","25","40"
"1414","25","45"
"1415","25","46"
"1416","25","50"
"1417","25","54"
"1418","25","59"
"1419","25","70"
"1420","25","75"
"1421","25","87"
"1422","25","100"
"1423","25","101"
"1424","25","105"
"1425","25","115"
"1426","25","140"
"1427","26","0"
"1428","26","1"
"1429","26","3"
"1430","26","4"
"1431","26","7"
"1432","26","8"
"1433","26","9"
"1434","26","10"
"1435","26","14"
"1436","26","15"
"1437","26","16"
"1438","26","17"
"1439","26","22"
"1440","26","24"
"1441","26","25"
"1442","26","29"
"1443","26","30"
"1444","26","31"
"1445","26","32"
"1446","26","33"
"1447","26","40"
"1448","26","46"
"1449","26","50"
"1450","26","51"
"1451","26","54"
"1452","26","58"
"1453","26","65"
"1454","26","70"
"1455","26","72"
"1456","26","80"
"1457","26","85"
"1458","26","90"
"1459","26","99"
"1460","26","100"
"1461","26","112"
"1462","27","0"
"1463","27","2"
"1464","27","3"
"1465","27","5"
"1466","27","8"
"1467","27","10"
"1468","27","12"
"1469","27","17"
"1470","27","19"
"1471","27","23"
"1472","27","28"
"1473","27","29"
"1474","27","30"
"1475","27","31"
"1476","27","32"
"1477","27","35"
"1478","27","45"
"1479","27","50"
"1480","27","51"
"1481","27","63"
"1482","27","70"
"1483","27","80"
"1484","27","85"
"1485","27","100"
"1486","27","125"
"1487","27","147"
"1488","27","183"
"1489","27","200"
"1490","27","340"
"1491","28","0"
"1492","28","3"
"1493","28","6"
"1494","28","7"
"1495","28","10"
"1496","28","11"
"1497","28","14"
"1498","28","16"
"1499","28","18"
"1500","28","20"
"1501","28","30"
"1502","28","33"
"1503","28","35"
"1504","28","42"
"1505","28","45"
"1506","28","50"
"1507","28","53"
"1508","28","57"
"1509","28","60"
"1510","28","96"
"1511","28","227"
"1512","29","0"
"1513","29","1"
"1514","29","7"
"1515","29","10"
"1516","29","12"
"1517","29","15"
"1518","29","17"
"1519","29","18"
"1520","29","30"
"1521","29","31"
"1522","29","33"
"1523","29","35"
"1524","29","40"
"1525","29","46"
"1526","29","48"
"1527","29","50"
"1528","29","70"
"1529","29","80"
"1530","29","136"
"1531","29","200"
"1532","29","220"
"1533","30","0"
"1534","30","2"
"1535","30","4"
"1536","30","10"
"1537","30","14"
"1538","30","15"
"1539","30","18"
"1540","30","20"
"1541","30","24"
"1542","30","30"
"1543","30","31"
"1544","30","32"
"1545","30","36"
"1546","30","39"
"1547","30","40"
"1548","30","43"
"1549","30","46"
"1550","30","47"
"1551","30","48"
"1552","30","50"
"1553","30","57"
"1554","30","60"
"1555","30","65"
"1556","30","70"
"1557","30","75"
"1558","30","95"
"1559","30","100"
"1560","30","110"
"1561","30","160"
"1562","30","200"
"1563","30","220"
"1564","30","300"
"1565","30","301"
"1566","31","0"
"1567","31","2"
"1568","31","9"
"1569","31","17"
"1570","31","18"
"1571","31","20"
"1572","31","23"
"1573","31","24"
"1574","31","25"
"1575","31","33"
"1576","31","35"
"1577","31","39"
"1578","31","42"
"1579","31","50"
"1580","31","51"
"1581","31","60"
"1582","31","65"
"1583","31","66"
"1584","31","70"
"1585","31","76"
"1586","31","89"
"1587","31","100"
"1588","31","101"
"1589","31","119"
"1590","32","0"
"1591","32","1"
"1592","32","4"
"1593","32","5"
"1594","32","6"
"1595","32","18"
"1596","32","22"
"1597","32","23"
"1598","32","24"
"1599","32","25"
"1600","32","27"
"1601","32","31"
"1602","32","38"
"1603","32","40"
"1604","32","50"
"1605","32","52"
"1606","32","53"
"1607","32","55"
"1608","32","60"
"1609","32","64"
"1610","32","67"
"1611","32","70"
"1612","32","71"
"1613","32","159"
"1614","32","162"
"1615","33","0"
"1616","33","15"
"1617","33","17"
"1618","33","52"
"1619","33","54"
"1620","33","55"
"1621","33","59"
"1622","33","70"
"1623","34","0"
"1624","34","9"
"1625","34","10"
"1626","34","12"
"1627","34","20"
"1628","34","22"
"1629","34","23"
"1630","34","24"
"1631","34","28"
"1632","34","40"
"1633","34","41"
"1634","34","45"
"1635","34","46"
"1636","34","50"
"1637","34","52"
"1638","34","58"
"1639","34","66"
"1640","34","100"
"1641","34","101"
"1642","34","108"
"1643","35","0"
"1644","35","1"
"1645","35","8"
"1646","35","9"
"1647","35","10"
"1648","35","20"
"1649","35","23"
"1650","35","24"
"1651","35","25"
"1652","35","27"
"1653","35","33"
"1654","35","35"
"1655","35","43"
"1656","35","49"
"1657","35","58"
"1658","35","60"
"1659","35","63"
"1660","35","65"
"1661","35","69"
"1662","35","77"
"1663","35","94"
