"cid","nkill","nwound"
"1","0","0"
"2","0","0"
"3","0","0"
"4","0","0"
"5","0","1"
"6","0","2"
"7","0","3"
"8","0","4"
"9","0","5"
"10","0","6"
"11","0","7"
"12","0","8"
"13","0","9"
"14","0","10"
"15","0","11"
"16","0","12"
"17","0","13"
"18","0","14"
"19","0","15"
"20","0","16"
"21","0","17"
"22","0","18"
"23","0","19"
"24","0","20"
"25","0","21"
"26","0","22"
"27","0","23"
"28","0","24"
"29","0","25"
"30","0","26"
"31","0","27"
"32","0","28"
"33","0","29"
"34","0","30"
"35","0","31"
"36","0","32"
"37","0","33"
"38","0","34"
"39","0","35"
"40","0","36"
"41","0","37"
"42","0","38"
"43","0","39"
"44","0","40"
"45","0","41"
"46","0","42"
"47","0","43"
"48","0","44"
"49","0","45"
"50","0","46"
"51","0","48"
"52","0","49"
"53","0","50"
"54","0","52"
"55","0","53"
"56","0","56"
"57","0","58"
"58","0","60"
"59","0","62"
"60","0","63"
"61","0","64"
"62","0","65"
"63","0","68"
"64","0","70"
"65","0","95"
"66","0","98"
"67","0","99"
"68","0","100"
"69","0","101"
"70","0","120"
"71","0","127"
"72","0","150"
"73","0","200"
"74","0","800"
"75","1","0"
"76","1","1"
"77","1","2"
"78","1","3"
"79","1","4"
"80","1","5"
"81","1","6"
"82","1","7"
"83","1","8"
"84","1","9"
"85","1","10"
"86","1","11"
"87","1","12"
"88","1","13"
"89","1","14"
"90","1","15"
"91","1","16"
"92","1","17"
"93","1","18"
"94","1","19"
"95","1","20"
"96","1","21"
"97","1","22"
"98","1","23"
"99","1","24"
"100","1","25"
"101","1","26"
"102","1","27"
"103","1","28"
"104","1","29"
"105","1","30"
"106","1","31"
"107","1","32"
"108","1","33"
"109","1","34"
"110","1","35"
"111","1","36"
"112","1","37"
"113","1","38"
"114","1","39"
"115","1","40"
"116","1","41"
"117","1","43"
"118","1","44"
"119","1","45"
"120","1","46"
"121","1","47"
"122","1","48"
"123","1","50"
"124","1","51"
"125","1","59"
"126","1","60"
"127","1","61"
"128","1","68"
"129","1","70"
"130","1","75"
"131","1","90"
"132","1","98"
"133","1","99"
"134","1","132"
"135","2","0"
"136","2","1"
"137","2","2"
"138","2","3"
"139","2","4"
"140","2","5"
"141","2","6"
"142","2","7"
"143","2","8"
"144","2","9"
"145","2","10"
"146","2","11"
"147","2","12"
"148","2","13"
"149","2","14"
"150","2","15"
"151","2","16"
"152","2","17"
"153","2","18"
"154","2","19"
"155","2","20"
"156","2","21"
"157","2","22"
"158","2","23"
"159","2","24"
"160","2","25"
"161","2","26"
"162","2","27"
"163","2","28"
"164","2","29"
"165","2","30"
"166","2","31"
"167","2","32"
"168","2","33"
"169","2","34"
"170","2","35"
"171","2","36"
"172","2","37"
"173","2","38"
"174","2","39"
"175","2","40"
"176","2","41"
"177","2","42"
"178","2","43"
"179","2","45"
"180","2","46"
"181","2","47"
"182","2","50"
"183","2","52"
"184","2","54"
"185","2","59"
"186","2","70"
"187","2","75"
"188","2","100"
"189","2","132"
"190","3","0"
"191","3","1"
"192","3","2"
"193","3","3"
"194","3","4"
"195","3","5"
"196","3","6"
"197","3","7"
"198","3","8"
"199","3","9"
"200","3","10"
"201","3","11"
"202","3","12"
"203","3","13"
"204","3","14"
"205","3","15"
"206","3","16"
"207","3","17"
"208","3","18"
"209","3","19"
"210","3","20"
"211","3","21"
"212","3","22"
"213","3","23"
"214","3","24"
"215","3","25"
"216","3","26"
"217","3","27"
"218","3","28"
"219","3","29"
"220","3","30"
"221","3","31"
"222","3","32"
"223","3","33"
"224","3","34"
"225","3","35"
"226","3","36"
"227","3","37"
"228","3","38"
"229","3","39"
"230","3","40"
"231","3","41"
"232","3","42"
"233","3","43"
"234","3","47"
"235","3","48"
"236","3","50"
"237","3","51"
"238","3","52"
"239","3","54"
"240","3","55"
"241","3","56"
"242","3","60"
"243","3","61"
"244","3","62"
"245","3","64"
"246","3","70"
"247","3","75"
"248","3","76"
"249","3","79"
"250","3","80"
"251","3","90"
"252","3","91"
"253","3","99"
"254","3","100"
"255","3","140"
"256","3","230"
"257","3","1500"
"258","4","0"
"259","4","0"
"260","4","1"
"261","4","2"
"262","4","3"
"263","4","4"
"264","4","5"
"265","4","6"
"266","4","7"
"267","4","8"
"268","4","9"
"269","4","10"
"270","4","11"
"271","4","12"
"272","4","13"
"273","4","14"
"274","4","15"
"275","4","16"
"276","4","17"
"277","4","18"
"278","4","19"
"279","4","20"
"280","4","21"
"281","4","22"
"282","4","23"
"283","4","24"
"284","4","25"
"285","4","26"
"286","4","27"
"287","4","28"
"288","4","29"
"289","4","30"
"290","4","31"
"291","4","32"
"292","4","33"
"293","4","34"
"294","4","35"
"295","4","36"
"296","4","37"
"297","4","38"
"298","4","39"
"299","4","40"
"300","4","44"
"301","4","45"
"302","4","46"
"303","4","47"
"304","4","49"
"305","4","50"
"306","4","51"
"307","4","52"
"308","4","53"
"309","4","55"
"310","4","56"
"311","4","57"
"312","4","58"
"313","4","59"
"314","4","60"
"315","4","68"
"316","4","70"
"317","4","75"
"318","4","80"
"319","4","85"
"320","4","90"
"321","4","99"
"322","4","101"
"323","4","102"
"324","4","217"
"325","5","0"
"326","5","1"
"327","5","2"
"328","5","3"
"329","5","4"
"330","5","5"
"331","5","6"
"332","5","7"
"333","5","8"
"334","5","9"
"335","5","10"
"336","5","11"
"337","5","12"
"338","5","13"
"339","5","14"
"340","5","15"
"341","5","16"
"342","5","17"
"343","5","18"
"344","5","19"
"345","5","20"
"346","5","21"
"347","5","22"
"348","5","23"
