"aid","tid","gid","wid","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"1","7","1387","17","3","4","1.3333","3","0","11","3.6667","6","0"
"1","7","1387","21","1","4","4.0000","4","4","0","0.0000","0","0"
"1","7","1390","17","1","1","1.0000","1","1","1","1.0000","1","1"
"1","7","1449","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1566","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1569","8","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1585","17","1","5","5.0000","5","5","5","5.0000","5","5"
"1","7","1634","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","7","1672","17","1","2","2.0000","2","2","3","3.0000","3","3"
"1","7","1675","17","3","2","0.6667","2","0","0","0.0000","0","0"
"1","7","1714","17","1","6","6.0000","6","6","7","7.0000","7","7"
"1","7","1717","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1768","28","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1810","17","2","1","0.5000","1","0","1","0.5000","1","0"
"1","7","1810","18","2","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1852","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","7","1870","17","1","0","0.0000","0","0","6","6.0000","6","6"
"1","7","1962","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","1962","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","2077","17","1","2","2.0000","2","2","0","0.0000","0","0"
"1","7","2078","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","2149","17","18","14","0.7778","4","0","6","0.3333","3","0"
"1","7","2149","18","5","2","0.4000","1","0","3","0.6000","3","0"
"1","7","2149","21","8","4","0.5000","2","0","5","0.6250","5","0"
"1","7","2149","24","2","0","0.0000","0","0","0","0.0000","0","0"
"1","7","2149","25","2","0","0.0000","0","0","0","0.0000","0","0"
"1","7","2175","18","1","0","0.0000","0","0","0","0.0000","0","0"
"1","7","2192","21","2","2","1.0000","2","0","0","0.0000","0","0"
"1","8","369","21","5","0","0.0000","0","0","8","1.6000","3","0"
"1","8","373","10","1","0","0.0000","0","0","4","4.0000","4","4"
"1","8","373","17","1","6","6.0000","6","6","2","2.0000","2","2"
"1","8","395","18","1","0","0.0000","0","0","1","1.0000","1","1"
"1","8","395","21","1","1","1.0000","1","1","0","0.0000","0","0"
"1","8","553","21","5","0","0.0000","0","0","5","1.0000","2","0"
"1","8","553","23","3","2","0.6667","1","0","0","0.0000","0","0"
"1","8","743","21","3","14","4.6667","6","2","0","0.0000","0","0"
"1","8","1115","21","1","6","6.0000","6","6","6","6.0000","6","6"
"1","8","1129","10","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1129","21","1","1","1.0000","1","1","3","3.0000","3","3"
"1","8","1233","21","7","1","0.1429","1","0","10","1.4286","9","0"
"1","8","1233","23","1","0","0.0000","0","0","6","6.0000","6","6"
"1","8","1236","21","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1377","21","1","1","1.0000","1","1","3","3.0000","3","3"
"1","8","1393","21","1","2","2.0000","2","2","1","1.0000","1","1"
"1","8","1430","17","1","0","0.0000","0","0","0","0.0000","0","0"
"1","8","1430","21","1","3","3.0000","3","3","1","1.0000","1","1"
