"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Albatros Commando","1","0","0.0000","0","0","0","0.0000","0","0"
"Alcubar group","1","1","1.0000","1","1","7","7.0000","7","7"
"Alejo Calatayu","1","0","0.0000","0","0","0","0.0000","0","0"
"Aleppo Fatah Operations Room","1","3","3.0000","3","3","100","100.0000","100","100"
"Alex Boncayao Brigade (ABB)","10","6","0.6000","2","0","6","0.6000","3","0"
"Alexandros Grigoropoulos Anarchist Attack Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Alfaro Vive","11","11","1.0000","4","0","0","0.0000","0","0"
"Algeisk Wolves","3","1","0.3333","1","0","0","0.0000","0","0"
"Algeria Province of the Islamic State","1","0","0.0000","0","0","4","4.0000","4","4"
"Algerian Islamic Extremists","177","263","1.4859","13","0","486","2.7458","27","0"
"Algerian Moslem Fundamentalists","2","3","1.5000","3","0","5","2.5000","4","1"
"All (Baksa District) B.F.D.N Sangodan","1","0","0.0000","0","0","3","3.0000","3","3"
"All Burma Students' Democratic Front (ABSDF)","5","1","0.2000","1","0","5","1.0000","3","0"
"All for the Fatherland Movement","1","0","0.0000","0","0","0","0.0000","0","0"
"All India Anna Dravida Munetra Kazgan Party","1","8","8.0000","8","8","9","9.0000","9","9"
"All Nepal National Free Student Union-Revolutionary","3","0","0.0000","0","0","6","2.0000","6","0"
"All Tripura Tiger Force (ATTF)","7","46","6.5714","17","0","29","4.1429","20","0"
"Allah's Tigers","1","1","1.0000","1","1","0","0.0000","0","0"
"Alliance of Patriots for a Free and Sovereign Congo (APCLS)","1","0","0.0000","0","0","0","0.0000","0","0"
"Alliance of Revolutionary Cuban Organizations","1","0","0.0000","0","0","0","0.0000","0","0"
"Allied Democratic Forces (ADF)","81","540","6.6667","40","0","331","4.0864","53","0"
"Amal","8","11","1.3750","7","0","9","1.1250","4","0"
"Amazigh Islamic Front","1","0","0.0000","0","0","6","6.0000","6","6"
"Ambazonia Defense Forces (ADF)","4","5","1.2500","4","0","0","0.0000","0","0"
"Ambazonia Tigers","1","0","0.0000","0","0","1","1.0000","1","1"
"America Battalion","6","83","13.8333","44","0","7","1.1667","7","0"
"American Anticommunist Association (AAA)","1","0","0.0000","0","0","0","0.0000","0","0"
"American Indian Movement","6","2","0.3333","2","0","2","0.3333","2","0"
"American Servicemen's Union (ASU)","1","0","0.0000","0","0","0","0.0000","0","0"
"Americans for a Competent Federal Judicial System","2","1","0.5000","1","0","1","0.5000","1","0"
"Amhara tribal group","1","61","61.0000","61","61","0","0.0000","0","0"
"Amr Bil Maroof Wa Nahi Anil Munkir","2","0","0.0000","0","0","0","0.0000","0","0"
"Ananda Marga","1","4","4.0000","4","4","0","0.0000","0","0"
"Anarchist Action (CA / United States)","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Anti-Capitalist Action Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Cell Acca (C.A.A.)","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Commando Nestor Makhno Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Faction","2","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Revolt Against Exiled Gendarmes","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchist Struggle","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarchists","75","1","0.0133","1","0","10","0.1333","4","0"
"Anarchists Attack Team","1","0","0.0000","0","0","0","0.0000","0","0"
"Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)","1","0","0.0000","0","0","0","0.0000","0","0"
"Andres Castro United Front","1","1","1.0000","1","1","0","0.0000","0","0"
"Angolan Defense Force","1","62","62.0000","62","62","1","1.0000","1","1"
"Angry Brigade","1","0","0.0000","0","0","0","0.0000","0","0"
"Angry Foxes Cell","1","0","0.0000","0","0","0","0.0000","0","0"
"Aniban ng Ayaw sa Komunista (ANAK) ","1","0","0.0000","0","0","0","0.0000","0","0"
"Animal Defense League","1","0","0.0000","0","0","0","0.0000","0","0"
"Animal Liberation Front (ALF)","81","0","0.0000","0","0","3","0.0370","1","0"
"Animal Rights extremists","9","0","0.0000","0","0","3","0.3333","3","0"
"Animal Rights Militia","1","0","0.0000","0","0","0","0.0000","0","0"
"Anonymous Underground Movement (MCA)","1","0","0.0000","0","0","0","0.0000","0","0"
"Ansar Al Sunnah (Palestine)","2","1","0.5000","1","0","0","0.0000","0","0"
"Ansar al-Dine (Mali)","25","35","1.4000","6","0","46","1.8400","7","0"
"Ansar al-Furqan","1","3","3.0000","3","3","42","42.0000","42","42"
"Ansar al-Islam","15","39","2.6000","11","0","92","6.1333","57","0"
"Ansar al-Islam (Burkina Faso)","10","6","0.6000","3","0","13","1.3000","4","0"
"Ansar Al-Khilafa (Philippines)","1","0","0.0000","0","0","0","0.0000","0","0"
"Ansar al-Sharia (Libya)","29","65","2.2414","21","0","146","5.0345","112","0"
"Ansar al-Sharia (Pakistan)","1","2","2.0000","2","2","0","0.0000","0","0"
"Ansar al-Sharia (Tunisia)","4","6","1.5000","4","0","47","11.7500","46","0"
"Ansar al-Sunna","8","130","16.2500","60","1","330","41.2500","150","0"
"Ansar al-Sunna (Mozambique)","25","84","3.3600","12","0","41","1.6400","14","0"
"Ansar Bayt al-Maqdis (Ansar Jerusalem)","42","173","4.1190","34","0","460","10.9524","130","0"
"Ansar Ghazwat-ul-Hind","1","0","0.0000","0","0","0","0.0000","0","0"
"Ansar Wa Mohajir (Pakistan)","2","1","0.5000","1","0","4","2.0000","4","0"
"Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)","2","2","1.0000","2","0","5","2.5000","5","0"
"Ansaru ash-Sharia (Russia)","1","1","1.0000","1","1","2","2.0000","2","2"
"Ansarul Islam (Pakistan)","1","31","31.0000","31","31","100","100.0000","100","100"
"Ansarullah Bangla Team","2","10","5.0000","9","1","25","12.5000","25","0"
"Anti Kurdish Workers Party Iraq nationals","1","60","60.0000","60","60","0","0.0000","0","0"
"Anti Somoza Gp, name unk","1","0","0.0000","0","0","1","1.0000","1","1"
"Anti-Abortion extremists","173","4","0.0231","2","0","22","0.1272","3","0"
"Anti-American Arab Liberation Front","1","3","3.0000","3","3","230","230.0000","230","230"
"Anti-Apartheid guerrillas","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Apostate Movement Alliance (AGAP)","1","0","0.0000","0","0","1","1.0000","1","1"
"Anti-Arab extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Armenian Organization","1","0","0.0000","0","0","13","13.0000","13","13"
"Anti-Authority Group (Greece)","3","0","0.0000","0","0","5","1.6667","5","0"
"Anti-Balaka Militia","21","274","13.0476","108","0","171","8.1429","76","0"
"Anti-Bhutto demonstrators","1","0","0.0000","0","0","4","4.0000","4","4"
"Anti-Capitalist Action","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Castro Command","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Christian extremists","1","3","3.0000","3","3","0","0.0000","0","0"
"Anti-Clerical Pro-Sex Toys Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Communist Action Alliance","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Communist Command (KAK)","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Communist extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Communist Patriotic Front","1","2","2.0000","2","2","1","1.0000","1","1"
"Anti-Communist Viets Organization","1","1","1.0000","1","1","0","0.0000","0","0"
"Anti-Democratic Struggle","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Environmentalists","3","0","0.0000","0","0","2","0.6667","2","0"
"Anti-Establishment Nucleus","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Fascist Activists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Fascist Territorial Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-feminist extremists","1","15","15.0000","15","15","14","14.0000","14","14"
"Anti-Gentrification Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Government Demonstrators","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Government extremists","28","240","8.5714","168","0","1548","55.2857","851","0"
"Anti-Government Group","15","3","0.2000","3","0","54","3.6000","40","0"
"Anti-Government Guerrillas","4","2","0.5000","1","0","12","3.0000","12","0"
"Anti-Immigrant extremists","3","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Imperialist Cell (AIZ)","3","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Imperialist Commando","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Imperialist Fighters for a Free Palestine","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Imperialist International Brigades","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Imperialist Patriotic Union","1","1","1.0000","1","1","0","0.0000","0","0"
"Anti-Imperialist Territorial Nuclei (NTA)","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Independence extremists","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Iran Government Exiles","2","0","0.0000","0","0","7","3.5000","6","1"
"Anti-Kim Jong-il extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-LGBT extremists","4","0","0.0000","0","0","1","0.2500","1","0"
"Anti-Muslim extremists","50","0","0.0000","0","0","3","0.0600","1","0"
"Anti-Narita Extremists","2","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Nuclear extremists","9","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Park extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Police extremists","7","7","1.0000","2","0","14","2.0000","5","0"
"Anti-Republican extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Revolutionary Agents","3","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Semitic extremists","26","12","0.4615","11","0","12","0.4615","7","0"
"Anti-State Action","3","0","0.0000","0","0","0","0.0000","0","0"
"Anti-State Justice","5","0","0.0000","0","0","0","0.0000","0","0"
"Anti-State Proletarian Nuclei","1","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Technology extremists","5","2","0.4000","1","0","1","0.2000","1","0"
"Anti-Terrorism ETA (ATE)","4","0","0.0000","0","0","0","0.0000","0","0"
"Anti-Terrorist Liberation Group (GAL)","7","6","0.8571","4","0","5","0.7143","5","0"
"Anti-White extremists","5","10","2.0000","6","0","9","1.8000","9","0"
"Anti-Zionist Movement","1","0","0.0000","0","0","0","0.0000","0","0"
"Apella","1","0","0.0000","0","0","0","0.0000","0","0"
"April 6th Liberation Movement","17","0","0.0000","0","0","72","4.2353","20","0"
"Arab Communist Organization","9","1","0.1111","1","0","9","1.0000","6","0"
"Arab Liberation Front (ALF)","1","0","0.0000","0","0","0","0.0000","0","0"
"Arab Movement of Azawad (MAA)","3","2","0.6667","2","0","0","0.0000","0","0"
"Arab People's Group","1","3","3.0000","3","3","3","3.0000","3","3"
"Arab Revolution/Liberation Vanguard Organization","1","1","1.0000","1","1","0","0.0000","0","0"
"Arab Separatists","5","8","1.6000","8","0","29","5.8000","16","0"
"Arab Socialist Baath Party","1","1","1.0000","1","1","0","0.0000","0","0"
"Arab Socialist Baath Party of Iraq","1","27","27.0000","27","27","30","30.0000","30","30"
"Arab Socialist Union Members","1","0","0.0000","0","0","1","1.0000","1","1"
"Arab Steadfastness Front","1","3","3.0000","3","3","56","56.0000","56","56"
"Arab-Israeli extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Arabian Peninsula Freemen","1","1","1.0000","1","1","0","0.0000","0","0"
"Arabs","4","1","0.2500","1","0","2","0.5000","2","0"
"Arakan Army (AA)","3","3","1.0000","3","0","17","5.6667","11","2"
"Arakan Rohingya Salvation Army (ARSA)","12","0","0.0000","0","0","7","0.5833","7","0"
"Arauco Malleco Coordinating Group (CAM) - Chile","9","0","0.0000","0","0","0","0.0000","0","0"
"Argentine Anticommunist Alliance (AAA)","7","41","5.8571","30","0","33","4.7143","16","0"
"Argentine Liberation Front (FAL)","1","0","0.0000","0","0","0","0.0000","0","0"
"Argentine Youths for Sovereignty","1","0","0.0000","0","0","0","0.0000","0","0"
"Ariska Brodraskapet (Aryan Brotherhood)","1","0","0.0000","0","0","2","2.0000","2","2"
"Aristide supporters","3","15","5.0000","5","5","0","0.0000","0","0"
"Armata Corsa","2","0","0.0000","0","0","0","0.0000","0","0"
"Armata di Liberazione Naziunale (ALN)","7","0","0.0000","0","0","0","0.0000","0","0"
"Armed Commandos of Liberation","9","3","0.3333","3","0","0","0.0000","0","0"
"Armed Communist Commando","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Communist Formations","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Communist Nucleus","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Falange","2","0","0.0000","0","0","0","0.0000","0","0"
"Armed Fight for Workers Power","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Forces for a Federal Republic (FARF)","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Forces for Liberation of East Timor (FALINTIL)","1","30","30.0000","30","30","0","0.0000","0","0"
"Armed Forces for National Salvation - Army of the People (FASN-EP)","2","5","2.5000","4","1","28","14.0000","24","4"
"Armed Forces of National Resistance (FARN)","18","9","0.5000","7","0","4","0.2222","2","0"
"Armed Forces of Popular Resistance (FARP)","2","0","0.0000","0","0","0","0.0000","0","0"
"Armed Forces of the Chechen Republic of Ichkeria","10","95","9.5000","11","3","153","15.3000","19","1"
"Armed Gold Miners","1","0","0.0000","0","0","2","2.0000","2","2"
"Armed Group for the Liberation of Guadeloupe (GLAG)","1","1","1.0000","1","1","0","0.0000","0","0"
"Armed Groups for Communism","1","0","0.0000","0","0","3","3.0000","3","3"
"Armed Groups of Organised Proletariat","1","1","1.0000","1","1","1","1.0000","1","1"
"Armed Islamic Group (GIA)","138","722","5.2319","48","0","1238","8.9710","286","0"
"Armed Islamic Movement","1","2","2.0000","2","2","0","0.0000","0","0"
"Armed Nuclei for Territorial Counterpower","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Nucleus for Popular Autonomy","2","0","0.0000","0","0","0","0.0000","0","0"
"Armed Nucleus of Communist Workers","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed People","2","2","1.0000","2","0","0","0.0000","0","0"
"Armed Proletarian Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Proletarian Groups for Communism","2","0","0.0000","0","0","1","0.5000","1","0"
"Armed Proletarian Nuclei (NAP)","9","1","0.1111","1","0","4","0.4444","3","0"
"Armed Proletarian Power","1","1","1.0000","1","1","0","0.0000","0","0"
"Armed Proletarian Squads","4","0","0.0000","0","0","2","0.5000","1","0"
"Armed Radical Groups for Communism","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Revolutionary Action (ENEDRA)","2","0","0.0000","0","0","0","0.0000","0","0"
"Armed Revolutionary Forces","1","0","0.0000","0","0","1","1.0000","1","1"
"Armed Revolutionary Groups","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Revolutionary Independence Movement (MIRA)","17","0","0.0000","0","0","11","0.6471","10","0"
"Armed Revolutionary Left (IRA)","2","0","0.0000","0","0","0","0.0000","0","0"
"Armed Revolutionary Nuclei (NAR)","6","3","0.5000","1","0","32","5.3333","23","0"
"Armed Squads for Communism","2","0","0.0000","0","0","1","0.5000","1","0"
"Armed Struggle for Communism","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Struggle for Proletarian Power","1","0","0.0000","0","0","0","0.0000","0","0"
"Armed Vanguards of a Second Mohammed Army","1","24","24.0000","24","24","100","100.0000","100","100"
"Armed Workers Squads","2","0","0.0000","0","0","0","0.0000","0","0"
"Armenian extremists","2","1","0.5000","1","0","8","4.0000","8","0"
"Armenian Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Armenian Guerrillas","9","98","10.8889","50","0","6","0.6667","4","0"
"Armenian militants","2","5","2.5000","3","2","0","0.0000","0","0"
"Armenian Secret Army for the Liberation of Armenia","62","21","0.3387","8","0","191","3.0806","55","0"
"Armenians","4","6","1.5000","4","0","0","0.0000","0","0"
"Army for Freeing Scotland","3","0","0.0000","0","0","0","0.0000","0","0"
"Army of God","24","2","0.0833","1","0","90","3.7500","75","0"
"Army of Islam","1","23","23.0000","23","23","97","97.0000","97","97"
"Army of the Republic of Ilirida","1","0","0.0000","0","0","0","0.0000","0","0"
"Army of the Tribes","2","24","12.0000","19","5","7","3.5000","7","0"
"Arnoldo Camu Command","1","0","0.0000","0","0","0","0.0000","0","0"
"Arsonists for Social Cohesion","2","0","0.0000","0","0","0","0.0000","0","0"
"Artigas Guard Commando","1","0","0.0000","0","0","0","0.0000","0","0"
"Arya","1","0","0.0000","0","0","0","0.0000","0","0"
"Aryan Nation","4","0","0.0000","0","0","5","1.2500","5","0"
"Aryan Republican Army","16","0","0.0000","0","0","0","0.0000","0","0"
"Asa'ib Ahl al-Haqq","55","36","0.6545","35","0","38","0.6909","35","0"
"Asbat al-Ansar","1","2","2.0000","2","2","0","0.0000","0","0"
"Association of Demobilized Armed Forces","1","0","0.0000","0","0","0","0.0000","0","0"
"Association Totalement Anti-Guerre (ATAG)","1","0","0.0000","0","0","0","0.0000","0","0"
"Attaches","1","0","0.0000","0","0","0","0.0000","0","0"
"Attack Teams for the Dissolution of the Nation (Greece)","3","0","0.0000","0","0","0","0.0000","0","0"
"Aum Shinri Kyo","1","0","0.0000","0","0","2","2.0000","2","2"
"Authenticity and Development Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Autonomous Anti-Capitalist Commandos (CAA)","2","0","0.0000","0","0","0","0.0000","0","0"
"Autonomous Group for Armed Action","1","0","0.0000","0","0","0","0.0000","0","0"
"Autonomous Groups","1","0","0.0000","0","0","0","0.0000","0","0"
"Autonomous Intervention Collective Against the Zionist Presence in France","1","0","0.0000","0","0","26","26.0000","26","26"
"Autonomous Manuel Rodriguez Patriotic Front","2","0","0.0000","0","0","0","0.0000","0","0"
"Autonomy Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Autonomy-Seeking Arabs","1","7","7.0000","7","7","60","60.0000","60","60"
"Avenge the Arab Nation","1","0","0.0000","0","0","1","1.0000","1","1"
"Avengers of Peiper Group","1","0","0.0000","0","0","0","0.0000","0","0"
"Avengers of the Infants","2","0","0.0000","0","0","28","14.0000","20","8"
"Awami League","25","10","0.4000","3","0","347","13.8800","100","0"
"Azania People's Organization (AZAPO)","2","4","2.0000","4","0","19","9.5000","17","2"
"Azawad National Liberation Movement (MNLA)","9","59","6.5556","44","0","151","16.7778","91","0"
"Azerbaijan Guerrillas","6","65","10.8333","27","0","14","2.3333","10","0"
"Azerbaijan Weapons Smugglers","1","0","0.0000","0","0","0","0.0000","0","0"
"Ba'adi (on my own behalf)","1","1","1.0000","1","1","3","3.0000","3","3"
"Baader-Meinhof Group","12","1","0.0833","1","0","26","2.1667","24","0"
"Baathist extremists","3","23","7.6667","13","4","167","55.6667","56","55"
"Bab Tajura Brigade","1","0","0.0000","0","0","0","0.0000","0","0"
"Babbar Khalsa International (BKI)","4","14","3.5000","7","0","69","17.2500","37","0"
"Bahoz","1","0","0.0000","0","0","1","1.0000","1","1"
"Bahrain Province of the Islamic State","1","0","0.0000","0","0","1","1.0000","1","1"
"Baloch Liberation Army (BLA)","106","164","1.5472","14","0","400","3.7736","30","0"
"Baloch Liberation Front (BLF)","90","118","1.3111","16","0","233","2.5889","26","0"
"Baloch Liberation Tigers (BLT)","5","25","5.0000","11","1","77","15.4000","50","0"
"Baloch Militant Defense Army","1","0","0.0000","0","0","0","0.0000","0","0"
"Baloch Nationalists","24","23","0.9583","6","0","64","2.6667","22","0"
"Baloch Republican Army (BRA)","240","147","0.6125","11","0","496","2.0667","58","0"
"Baloch Republican Guards (BRG)","7","6","0.8571","4","0","41","5.8571","23","0"
"Baloch Republican Party","1","1","1.0000","1","1","2","2.0000","2","2"
"Baloch Waja Liberation Army (BWLA)","2","0","0.0000","0","0","1","0.5000","1","0"
"Baloch Young Tigers (BYT)","3","29","9.6667","16","1","173","57.6667","150","0"
"Balochistan Liberation United Front (BLUF)","17","11","0.6471","3","0","57","3.3529","16","0"
"Balochistan National Army","1","11","11.0000","11","11","20","20.0000","20","20"
"Bandits","6","9","1.5000","4","0","0","0.0000","0","0"
"Bangalee Somo Odhikar Andolon","1","0","0.0000","0","0","5","5.0000","5","5"
"Bangladesh Nationalist Party (BNP)","39","9","0.2308","2","0","292","7.4872","101","0"
"Bangladesh Sarbahara Party","4","20","5.0000","7","1","0","0.0000","0","0"
"Bangladesh Tiger Force","1","2","2.0000","2","2","0","0.0000","0","0"
"Bangsamoro Islamic Freedom Movement (BIFM)","127","112","0.8819","10","0","383","3.0157","40","0"
"Bangsamoro National Liberation Army","1","0","0.0000","0","0","0","0.0000","0","0"
"Bani Hilal Tribe","1","0","0.0000","0","0","0","0.0000","0","0"
"Banyamulenge rebels","1","37","37.0000","37","37","0","0.0000","0","0"
"Barak Valley Tiger Force (BVTF)","1","0","0.0000","0","0","3","3.0000","3","3"
"Barisan Revolusi Nasional (BRN)","77","26","0.3377","5","0","129","1.6753","40","0"
"Barqa Province of the Islamic State","56","178","3.1786","17","0","251","4.4821","25","0"
"Base Movement","3","0","0.0000","0","0","4","1.3333","3","0"
"Bashir al-Baqarah militia","2","20","10.0000","20","0","69","34.5000","69","0"
"Basque extremists","7","0","0.0000","0","0","0","0.0000","0","0"
"Basque Fatherland and Freedom (ETA)","960","406","0.4229","21","0","1592","1.6583","95","0"
"Basque Justice","1","0","0.0000","0","0","0","0.0000","0","0"
"Basque Rectitudes","2","0","0.0000","0","0","0","0.0000","0","0"
"Basque Separatists","3","1","0.3333","1","0","2","0.6667","2","0"
"Basque terrorists","1","0","0.0000","0","0","2","2.0000","2","2"
"Bavarian Liberation Army","3","0","0.0000","0","0","7","2.3333","5","1"
"Bedouin Israeli extremists","1","1","1.0000","1","1","0","0.0000","0","0"
"Bedouin Movement (Sudan)","1","2","2.0000","2","2","1","1.0000","1","1"
"Bedouin tribesmen","4","1","0.2500","1","0","0","0.0000","0","0"
"Begumcans Cell","1","0","0.0000","0","0","3","3.0000","3","3"
"Beirut Martyrs Battalion","1","1","1.0000","1","1","2","2.0000","2","2"
"Beirut Martyrs Forces Organization","2","0","0.0000","0","0","0","0.0000","0","0"
"Beja Congress","3","1","0.3333","1","0","2","0.6667","2","0"
"Belarusian Liberation Army","1","0","0.0000","0","0","0","0.0000","0","0"
"Beli Orlovi (White Eagles)","1","0","0.0000","0","0","2","2.0000","2","2"
"Benghazi Defense Brigades (BDB)","7","22","3.1429","5","0","13","1.8571","13","0"
"Berom Militants","4","6","1.5000","4","0","3","0.7500","2","0"
"Besi Merah Putih Militia","1","1","1.0000","1","1","4","4.0000","4","4"
"Bharatiya Janata Party","3","0","0.0000","0","0","0","0.0000","0","0"
"Bhinderanwale Tiger Force of Khalistan (BTHK)","4","25","6.2500","19","0","27","6.7500","25","0"
"Bhisan Himali Bag","1","0","0.0000","0","0","0","0.0000","0","0"
"Bhittani tribe","1","0","0.0000","0","0","0","0.0000","0","0"
"Biafra Zionist Movement (BZM)","1","3","3.0000","3","3","0","0.0000","0","0"
"Bihar People's  Party (Hindu militants)","1","1","1.0000","1","1","0","0.0000","0","0"
"Bilal Badr Group","1","5","5.0000","5","5","30","30.0000","30","30"
"Bini-Oru","1","1","1.0000","1","1","1","1.0000","1","1"
"Black Afro Militant Movement","3","0","0.0000","0","0","0","0.0000","0","0"
"Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)","1","0","0.0000","0","0","0","0.0000","0","0"
"Black Berets","1","6","6.0000","6","6","0","0.0000","0","0"
"Black Brigade (United States)","1","0","0.0000","0","0","0","0.0000","0","0"
"Black Eagles","1","0","0.0000","0","0","0","0.0000","0","0"
"Black extremists","2","4","2.0000","3","1","0","0.0000","0","0"
"Black Flag (Bandera Negra)","1","0","0.0000","0","0","0","0.0000","0","0"
"Black Forest Command","1","0","0.0000","0","0","0","0.0000","0","0"
"Black Hand","2","19","9.5000","15","4","40","20.0000","28","12"
"Black Hand (Colombia)","2","13","6.5000","12","1","0","0.0000","0","0"
"Black Hebrew Israelites","2","0","0.0000","0","0","0","0.0000","0","0"
"Black Lebanon","2","1","0.5000","1","0","41","20.5000","37","4"
"Black Liberation Army","24","10","0.4167","2","0","6","0.2500","2","0"
"Black March","2","0","0.0000","0","0","24","12.0000","12","12"
"Black Muslims","2","9","4.5000","7","2","2","1.0000","2","0"
"Black Nationalists","60","15","0.2500","8","0","26","0.4333","7","0"
"Black Order","4","9","2.2500","8","0","104","26.0000","102","0"
"Black Panther Group (Palestinian)","6","5","0.8333","2","0","5","0.8333","3","0"
"Black Panthers","13","2","0.1538","1","0","61","4.6923","20","0"
"Black Revolutionary Assault Team","1","0","0.0000","0","0","0","0.0000","0","0"
"Black September","99","38","0.3838","30","0","114","1.1515","55","0"
"Black Star","7","0","0.0000","0","0","0","0.0000","0","0"
"Black Widows","7","39","5.5714","12","0","3","0.4286","2","0"
"Bodo Liberation Tigers (BLT)","3","41","13.6667","33","2","78","26.0000","54","0"
"Bodo Militants","40","265","6.6250","70","0","282","7.0500","100","0"
"Bodu Bala Sena","6","3","0.5000","1","0","52","8.6667","17","0"
"Boer Republikeinse Leer","1","0","0.0000","0","0","1","1.0000","1","1"
"Boere Aanvals Troepe (BAT)","3","0","0.0000","0","0","2","0.6667","2","0"
"Boko Haram","892","5810","6.5135","122","0","6188","6.9372","270","0"
"Bolivarian Army of Liberation","1","0","0.0000","0","0","1","1.0000","1","1"
"Bolivian Socialist Falange","5","0","0.0000","0","0","3","0.6000","2","0"
"Borderless Solidarity Cell (BSC)","1","0","0.0000","0","0","0","0.0000","0","0"
"Boricua Revolutionary Front","1","0","0.0000","0","0","0","0.0000","0","0"
"Bosnian refugee","1","0","0.0000","0","0","0","0.0000","0","0"
"Bougainville Revolutionary Army (BRA)","5","20","4.0000","17","0","29","5.8000","26","0"
"Boz-Ok (Grey Arrow)","1","1","1.0000","1","1","1","1.0000","1","1"
"Brelvi Muslims","1","1","1.0000","1","1","4","4.0000","4","4"
"Breton Liberation Front (FLB)","24","2","0.0833","1","0","0","0.0000","0","0"
"Breton Separatists","5","0","0.0000","0","0","7","1.4000","7","0"
"Brigadas Rojas","1","0","0.0000","0","0","0","0.0000","0","0"
"Brigades of Imprisoned Sheikh Omar Abdel-Rahman","3","0","0.0000","0","0","1","0.3333","1","0"
"Brother Julian","1","0","0.0000","0","0","12","12.0000","12","12"
"Bru Democratic Front of Mizoram (BDFM)","1","0","0.0000","0","0","0","0.0000","0","0"
"Brunswijk Jungle Commando","10","7","0.7000","4","0","0","0.0000","0","0"
"Buddhist Monks","3","0","0.0000","0","0","3","1.0000","3","0"
"Burma Communist Party","1","0","0.0000","0","0","0","0.0000","0","0"
"Burmese Minority Group Pirates","1","0","0.0000","0","0","0","0.0000","0","0"
"Cali Narcotics Cartel","1","1","1.0000","1","1","0","0.0000","0","0"
"Cambodian Freedom Fighters (CFF)","4","8","2.0000","8","0","14","3.5000","14","0"
"Cambodian guerrillas","1","2","2.0000","2","2","0","0.0000","0","0"
"Cambodian People's Party (CPP)","3","48","16.0000","48","0","118","39.3333","118","0"
"Canary Islands Independence Movement","22","0","0.0000","0","0","12","0.5455","7","0"
"Cannibal Army","4","0","0.0000","0","0","0","0.0000","0","0"
"Caribbean Revolutionary Alliance (ARC)","9","1","0.1111","1","0","25","2.7778","20","0"
"Carlos Echeverria commando group","2","0","0.0000","0","0","4","2.0000","4","0"
"Catalan Liberation Front (FAC)","12","0","0.0000","0","0","0","0.0000","0","0"
