"gname","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"United Revolutionary Front","6","3","0.5000","3","0","23","3.8333","15","0"
"United Self Defense Units of Colombia (AUC)","12","62","5.1667","11","0","6","0.5000","3","0"
"United Somali Congress","1","1","1.0000","1","1","2","2.0000","2","2"
"Universal Liberation Front","2","0","0.0000","0","0","0","0.0000","0","0"
"Universal Proutist Revolutionary Federation","1","0","0.0000","0","0","1","1.0000","1","1"
"Unknown","36651","53519","1.4602","300","0","113662","3.1012","800","0"
"Up the IRS, Inc","5","0","0.0000","0","0","0","0.0000","0","0"
"Urban Guerrillas","1","0","0.0000","0","0","20","20.0000","20","20"
"Urhobo Gbagbako","2","0","0.0000","0","0","0","0.0000","0","0"
"Urhobo Revolutionary Army","1","0","0.0000","0","0","0","0.0000","0","0"
"Valais Group Against Hydro-Rhone","1","0","0.0000","0","0","0","0.0000","0","0"
"Vandalicia Teodoro Suarez","1","0","0.0000","0","0","0","0.0000","0","0"
"Vanguard of Red Youth (AKM)","1","0","0.0000","0","0","0","0.0000","0","0"
"Vanguards of the Caliphate","1","1","1.0000","1","1","0","0.0000","0","0"
"Venceremos","1","0","0.0000","0","0","0","0.0000","0","0"
"Veterans United for Non-Religious Memorials","1","0","0.0000","0","0","0","0.0000","0","0"
"Vetevendosje","1","0","0.0000","0","0","0","0.0000","0","0"
"Vietnamese Organization to Exterminate Communists and Restore the Nation","1","1","1.0000","1","1","0","0.0000","0","0"
"Vietnamese Refugees","2","0","0.0000","0","0","1","0.5000","1","0"
"Vigilante Group","11","106","9.6364","30","1","0","0.0000","0","0"
"Vigorous Burmese Student Warriors","1","1","1.0000","1","1","3","3.0000","3","3"
"Village League","1","0","0.0000","0","0","5","5.0000","5","5"
"Villagers","1","0","0.0000","0","0","2","2.0000","2","2"
"Vincente Mecha Revolutionary Christians","1","0","0.0000","0","0","0","0.0000","0","0"
"Vishwa Hindu Parishad (VHP)","3","3","1.0000","3","0","2","0.6667","2","0"
"Volunteers of Innocent People of Nagas (VIPN)","2","0","0.0000","0","0","2","1.0000","2","0"
"Vulkangruppe NetzHerrschaft zerreissen","1","0","0.0000","0","0","0","0.0000","0","0"
"Vyborg Brigade","1","0","0.0000","0","0","0","0.0000","0","0"
"Wahhabi Movement","1","1","1.0000","1","1","6","6.0000","6","6"
"Waltraud Boock Group","2","1","0.5000","1","0","1","0.5000","1","0"
"We Who Built Sweden","1","0","0.0000","0","0","0","0.0000","0","0"
"Weather Underground, Weathermen","30","0","0.0000","0","0","0","0.0000","0","0"
"Weichan Auka Mapu","11","0","0.0000","0","0","2","0.1818","2","0"
"Welsh Extremists","2","0","0.0000","0","0","0","0.0000","0","0"
"White Guard","1","1","1.0000","1","1","0","0.0000","0","0"
"White Legion (Ecuador)","1","0","0.0000","0","0","0","0.0000","0","0"
"White Legion (Georgia)","1","8","8.0000","8","8","2","2.0000","2","2"
"White Liberation Army","1","0","0.0000","0","0","27","27.0000","27","27"
"White Panther Party","1","0","0.0000","0","0","0","0.0000","0","0"
"White Rabbit Three Percent Illinois Patriot Freedom Fighters Militia","2","0","0.0000","0","0","0","0.0000","0","0"
"White supremacists/nationalists","74","47","0.6351","17","0","190","2.5676","92","0"
"White Wolves","2","0","0.0000","0","0","9","4.5000","9","0"
"Wild Freedom","1","0","0.0000","0","0","2","2.0000","2","2"
"Wild Individualities","3","0","0.0000","0","0","0","0.0000","0","0"
"Wit Kommando","1","0","0.0000","0","0","0","0.0000","0","0"
"Women's Protection Units (YPJ)","1","2","2.0000","2","2","2","2.0000","2","2"
"Worker Autonomy, Continuous Struggle","2","0","0.0000","0","0","0","0.0000","0","0"
"Workers Brigade for Communism","1","1","1.0000","1","1","0","0.0000","0","0"
"Workers' Self-Defense Movement (MAO)","10","3","0.3000","2","0","0","0.0000","0","0"
"Workers/Employees","2","0","0.0000","0","0","0","0.0000","0","0"
"Working People's Alliance (WPA)","1","1","1.0000","1","1","1","1.0000","1","1"
"Wrath of Olives","1","9","9.0000","9","9","18","18.0000","18","18"
"Yakariya Bango Insurgent Group","1","6","6.0000","6","6","40","40.0000","40","40"
"Yarmouk Martyrs Brigade","1","0","0.0000","0","0","0","0.0000","0","0"
"Yatama","1","2","2.0000","2","2","0","0.0000","0","0"
"Yazidi extremists","1","0","0.0000","0","0","0","0.0000","0","0"
"Yekbun","1","0","0.0000","0","0","1","1.0000","1","1"
"Yokoku Seiwa-Kai","1","0","0.0000","0","0","0","0.0000","0","0"
"Young Brigade of Navarro","1","0","0.0000","0","0","0","0.0000","0","0"
"Young Communist League","5","0","0.0000","0","0","17","3.4000","12","0"
"Young Cuba","1","0","0.0000","0","0","0","0.0000","0","0"
"Young Liberators of Pattani","1","0","0.0000","0","0","0","0.0000","0","0"
"Youth Action Group","2","0","0.0000","0","0","7","3.5000","7","0"
"Youth Movement for the Total Liberation of Azawad","1","2","2.0000","2","2","1","1.0000","1","1"
"Youth of Islamic Awakening","1","0","0.0000","0","0","0","0.0000","0","0"
"Youth of the Land of Egypt","1","4","4.0000","4","4","5","5.0000","5","5"
"Youths","7","0","0.0000","0","0","14","2.0000","14","0"
"Zaghawa extremists","2","7","3.5000","7","0","8","4.0000","8","0"
"Zagros Eagles","1","0","0.0000","0","0","4","4.0000","4","4"
"Zapatista National Liberation Army","7","24","3.4286","10","0","18","2.5714","9","0"
