"region","country","provstate","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Eastern Europe","Russia","Republic of Dagestan","1","0","0.0000","0","0","0","0.0000","0","0"
"Eastern Europe","Russia","Republic of Degastan","1","0","0.0000","0","0","5","5.0000","5","5"
"Eastern Europe","Russia","Rostov","7","66","9.4286","46","0","188","26.8571","184","0"
"Eastern Europe","Russia","Russia","1","0","0.0000","0","0","0","0.0000","0","0"
"Eastern Europe","Russia","Russian Republic","11","68","6.1818","26","0","130","11.8182","48","0"
"Eastern Europe","Russia","Saint Petersburg","11","18","1.6364","16","0","83","7.5455","63","0"
"Eastern Europe","Russia","Sakhalin","2","2","1.0000","2","0","6","3.0000","6","0"
"Eastern Europe","Russia","Samara","1","0","0.0000","0","0","1","1.0000","1","1"
"Eastern Europe","Russia","Samara Oblast","1","0","0.0000","0","0","1","1.0000","1","1"
"Eastern Europe","Russia","Shali","1","2","2.0000","2","2","1","1.0000","1","1"
"Eastern Europe","Russia","Smolensk","1","1","1.0000","1","1","1","1.0000","1","1"
"Eastern Europe","Russia","St. Petersburg","1","1","1.0000","1","1","0","0.0000","0","0"
"Eastern Europe","Russia","Stavropol","13","28","2.1538","6","0","143","11.0000","44","0"
"Eastern Europe","Russia","Stavropolye Region","3","8","2.6667","7","0","50","16.6667","46","0"
