"targtype","targsubtype","number","nkill","mean_kill","max_kill","min_kill","nwound","mean_wound","max_wound","min_wound"
"Private Citizens & Property","Laborer (General)/Occupation Identified","769","1488","1.9350","160","0","1681","2.1860","542","0"
"Private Citizens & Property","Marketplace/Plaza/Square","1165","6291","5.4000","121","0","19192","16.4738","246","0"
"Private Citizens & Property","Memorial/Cemetery/Monument","134","217","1.6194","69","0","793","5.9179","200","0"
"Private Citizens & Property","Museum/Cultural Center/Cultural House","89","60","0.6742","25","0","345","3.8764","100","0"
"Private Citizens & Property","Named Civilian","727","931","1.2806","21","0","749","1.0303","60","0"
"Private Citizens & Property","Political Party Member/Rally","866","1194","1.3788","150","0","2479","2.8626","201","0"
"Private Citizens & Property","Procession/Gathering (funeral, wedding, birthday, religious)","223","1867","8.3722","100","0","4423","19.8341","150","0"
"Private Citizens & Property","Protester","119","279","2.3445","46","0","746","6.2689","183","0"
"Private Citizens & Property","Public Area (garden, parking lot, garage, beach, public building, camp)","589","616","1.0458","79","0","1996","3.3888","351","0"
"Private Citizens & Property","Race/Ethnicity Identified","726","2600","3.5813","250","0","3924","5.4050","750","0"
"Private Citizens & Property","Refugee (including Camps/IDP/Asylum Seekers)","222","1177","5.3018","271","0","2438","10.9820","800","0"
"Private Citizens & Property","Religion Identified","641","4419","6.8939","1180","0","5758","8.9828","200","0"
"Private Citizens & Property","Student","89","129","1.4494","12","0","481","5.4045","150","0"
"Private Citizens & Property","Unnamed Civilian/Unspecified","3956","14118","3.5688","256","0","24740","6.2538","750","0"
"Private Citizens & Property","Vehicles/Transportation","2094","3460","1.6523","48","0","3555","1.6977","52","0"
"Private Citizens & Property","Village/City/Town/Suburb","2447","16677","6.8153","433","0","11885","4.8570","1500","0"
"Religious Figures/Institutions","Affiliated Institution","203","473","2.3300","91","0","1141","5.6207","351","0"
"Religious Figures/Institutions","Place of Worship","1618","6491","4.0117","311","0","14916","9.2188","400","0"
"Religious Figures/Institutions","Religious Figure","389","769","1.9769","70","0","817","2.1003","100","0"
"Telecommunication","Internet Infrastructure","5","10","2.0000","10","0","2","0.4000","2","0"
"Telecommunication","Multiple Telecommunication Targets","24","0","0.0000","0","0","5","0.2083","4","0"
"Telecommunication","Radio","65","28","0.4308","17","0","5","0.0769","1","0"
"Telecommunication","Telephone/Telegraph","483","55","0.1139","11","0","313","0.6480","114","0"
"Telecommunication","Television","49","12","0.2449","7","0","12","0.2449","4","0"
"Terrorists/Non-State Militia","Non-State Militia","797","1929","2.4203","45","0","2444","3.0665","85","0"
"Terrorists/Non-State Militia","Terrorist","325","1167","3.5908","78","0","1366","4.2031","300","0"
"Tourists","Other Facility","38","28","0.7368","11","0","54","1.4211","30","0"
"Tourists","Tour Bus/Van","58","96","1.6552","21","0","288","4.9655","54","0"
"Tourists","Tourism Travel Agency","20","1","0.0500","1","0","3","0.1500","1","0"
"Tourists","Tourist","95","372","3.9158","91","0","699","7.3579","110","0"
"Transportation","Bridge/Car Tunnel","415","361","0.8699","95","0","284","0.6843","27","0"
"Transportation","Bus (excluding tourists)","1539","5103","3.3158","127","0","11423","7.4224","300","0"
"Transportation","Bus Station/Stop","279","877","3.1434","71","0","3443","12.3405","124","0"
"Transportation","Highway/Road/Toll/Traffic Signal","107","90","0.8411","25","0","72","0.6729","15","0"
"Transportation","Subway","79","161","2.0380","27","0","1528","19.3418","340","0"
"Transportation","Taxi/Rickshaw","65","107","1.6462","13","0","153","2.3538","23","0"
"Transportation","Train/Train Tracks/Trolley","1274","2367","1.8579","259","0","9034","7.0911","817","0"
"Utilities","Electricity","2998","357","0.1191","46","0","408","0.1361","32","0"
"Utilities","Gas","499","75","0.1503","25","0","177","0.3547","28","0"
"Utilities","Oil","838","270","0.3222","74","0","325","0.3878","100","0"
"Violent Political Party","Party Office/Facility","169","346","2.0473","98","0","997","5.8994","160","0"
"Violent Political Party","Party Official/Candidate/Other Personnel","598","1150","1.9231","126","0","1550","2.5920","300","0"
"Violent Political Party","Rally","49","338","6.8980","200","0","991","20.2245","300","0"
